year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5116724,270,Highland,Munlochy Primary School,Primary,trend,Pupil Numbers,81,
2021,5116724,270,Highland,Munlochy Primary School,Primary,trend,Teacher Numbers (FTE),5.1,
2021,5116724,270,Highland,Munlochy Primary School,Primary,trend,Pupil Teacher Ratio,15.9,
2021,5116724,270,Highland,Munlochy Primary School,Primary,trend,Average Class,20.3,
2022,5116724,270,Highland,Munlochy Primary School,Primary,trend,Pupil Numbers,70,
2022,5116724,270,Highland,Munlochy Primary School,Primary,trend,Teacher Numbers (FTE),5.1,
2022,5116724,270,Highland,Munlochy Primary School,Primary,trend,Pupil Teacher Ratio,13.7,
2022,5116724,270,Highland,Munlochy Primary School,Primary,trend,Average Class,17.5,
2022,5116724,270,Highland,Munlochy Primary School,Primary,sex,Female,40-50%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,sex,Male,50-60%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,stage,P1,12.9%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,stage,P2,14.3%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,stage,P3,8.6%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,stage,P4,21.4%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,stage,P5,12.9%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,stage,P6,11.4%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,stage,P7,18.6%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,additional_support_needs,ASN,30-40%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,additional_support_needs,No ASN,70-80%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,english_additional_language,EAL,0-10%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,english_additional_language,No EAL,90+%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,deprivation,SIMD Q1,0-10%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,deprivation,SIMD Q2,0-10%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,deprivation,SIMD Q3,0-10%,
2022,5116724,270,Highland,Munlochy Primary School,Primary,deprivation,SIMD Q4,90+%,
