year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5123526,270,Highland,Plockton Primary School,Primary,trend,Pupil Numbers,34,
2021,5123526,270,Highland,Plockton Primary School,Primary,trend,Teacher Numbers (FTE),3.9,
2021,5123526,270,Highland,Plockton Primary School,Primary,trend,Pupil Teacher Ratio,8.7,
2021,5123526,270,Highland,Plockton Primary School,Primary,trend,Average Class,11.3,
2022,5123526,270,Highland,Plockton Primary School,Primary,trend,Pupil Numbers,38,
2022,5123526,270,Highland,Plockton Primary School,Primary,trend,Teacher Numbers (FTE),4.4,
2022,5123526,270,Highland,Plockton Primary School,Primary,trend,Pupil Teacher Ratio,8.6,
2022,5123526,270,Highland,Plockton Primary School,Primary,trend,Average Class,12.7,
2022,5123526,270,Highland,Plockton Primary School,Primary,sex,Female,50-60%,
2022,5123526,270,Highland,Plockton Primary School,Primary,sex,Male,40-50%,
2022,5123526,270,Highland,Plockton Primary School,Primary,stage,P1,21.1%,
2022,5123526,270,Highland,Plockton Primary School,Primary,stage,P2,21.1%,
2022,5123526,270,Highland,Plockton Primary School,Primary,stage,P3,18.4%,
2022,5123526,270,Highland,Plockton Primary School,Primary,stage,P4,c,c
2022,5123526,270,Highland,Plockton Primary School,Primary,stage,P5,c,c
2022,5123526,270,Highland,Plockton Primary School,Primary,stage,P6,13.2%,
2022,5123526,270,Highland,Plockton Primary School,Primary,stage,P7,c,c
2022,5123526,270,Highland,Plockton Primary School,Primary,additional_support_needs,ASN,20-30%,
2022,5123526,270,Highland,Plockton Primary School,Primary,additional_support_needs,No ASN,70-80%,
2022,5123526,270,Highland,Plockton Primary School,Primary,english_additional_language,EAL,0-10%,
2022,5123526,270,Highland,Plockton Primary School,Primary,english_additional_language,No EAL,90+%,
2022,5123526,270,Highland,Plockton Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5123526,270,Highland,Plockton Primary School,Primary,deprivation,SIMD Q1,0-10%,
2022,5123526,270,Highland,Plockton Primary School,Primary,deprivation,SIMD Q2,10-20%,
2022,5123526,270,Highland,Plockton Primary School,Primary,deprivation,SIMD Q3,30-40%,
2022,5123526,270,Highland,Plockton Primary School,Primary,deprivation,SIMD Q4,50-60%,
2022,5123526,270,Highland,Plockton Primary School,Primary,deprivation,SIMD Q5,0-10%,
2022,5123526,270,Highland,Plockton Primary School,Primary,ethnicity,Ethnicity Not Known,0-10%,
2022,5123526,270,Highland,Plockton Primary School,Primary,ethnicity,Ethnic Minority,0-10%,
2022,5123526,270,Highland,Plockton Primary School,Primary,ethnicity,White UK,90+%,
2022,5123526,270,Highland,Plockton Primary School,Primary,ethnicity,White Other,0-10%,
2022,5123526,270,Highland,Plockton Primary School,Primary,urban_rural,Urban Rural Not Known,0-10%,
2022,5123526,270,Highland,Plockton Primary School,Primary,urban_rural,Rural,90+%,
2022,5123526,270,Highland,Plockton Primary School,Primary,urban_rural,Small Town,0-10%,
2022,5123526,270,Highland,Plockton Primary School,Primary,urban_rural,Urban,0-10%,
2022,5123526,270,Highland,Plockton Primary School,Primary,gaelic,Taught in Gaelic,90+%,
2022,5123526,270,Highland,Plockton Primary School,Primary,gaelic,Not Taught in Gaelic,0-10%,
