year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Numbers,37,
2021,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Teacher Numbers (FTE),4.2,
2021,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Teacher Ratio,8.8,
2021,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Average Class,12.3,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Numbers,31,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Teacher Numbers (FTE),2.9,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Teacher Ratio,10.7,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Average Class,15.5,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,sex,Female,40-50%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,sex,Male,50-60%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,stage,P1,16.1%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,stage,P2,c,c
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,stage,P3,16.1%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,stage,P4,c,c
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,stage,P5,c,c
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,stage,P6,19.4%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,stage,P7,22.6%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,additional_support_needs,ASN,40-50%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,additional_support_needs,No ASN,50-60%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,english_additional_language,EAL,0-10%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,english_additional_language,No EAL,90+%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,deprivation,SIMD Q1,40-50%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,deprivation,SIMD Q2,10-20%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,deprivation,SIMD Q3,0-10%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,deprivation,SIMD Q4,20-30%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,deprivation,SIMD Q5,0-10%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,ethnicity,Ethnicity Not Known,0-10%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,ethnicity,Ethnic Minority,0-10%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,ethnicity,White UK,80-90%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,ethnicity,White Other,0-10%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,urban_rural,Urban Rural Not Known,0-10%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,urban_rural,Rural,0-10%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,urban_rural,Small Town,0-10%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,urban_rural,Urban,90+%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,gaelic,Taught in Gaelic,0-10%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,gaelic,Not Taught in Gaelic,90+%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,free_school_meals,FSM,60-70%,
2022,5139422,270,Highland,Bishop Eden's Primary School,Primary,free_school_meals,No FSM,30-40%,
2020,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Numbers,39,
2020,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Teacher Numbers (FTE),2.9,
2020,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Teacher Ratio,13.4,
2020,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Average Class,19.5,
2019,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Numbers,41,
2019,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Teacher Numbers (FTE),2.9,
2019,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Teacher Ratio,14.1,
2019,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Average Class,20.5,
2018,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Numbers,33,
2018,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Teacher Numbers (FTE),3.4,
2018,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Teacher Ratio,9.7,
2018,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Average Class,16.5,
2017,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Numbers,35,
2017,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Teacher Numbers (FTE),3.3,
2017,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Teacher Ratio,10.6,
2017,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Average Class,17.5,
2016,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Numbers,48,
2016,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Teacher Numbers (FTE),4.2,
2016,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Teacher Ratio,11.4,
2016,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Average Class,16,
2015,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Numbers,51,
2015,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Teacher Numbers (FTE),3.6,
2015,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Teacher Ratio,14.2,
2015,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Average Class,17,
2014,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Numbers,51,
2014,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Teacher Numbers (FTE),3.9,
2014,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Pupil Teacher Ratio,13.1,
2014,5139422,270,Highland,Bishop Eden's Primary School,Primary,trend,Average Class,17,
