year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,24,
2021,5134129,270,Highland,Invergarry Primary School,Primary,trend,Teacher Numbers (FTE),2.6,
2021,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Teacher Ratio,9.1,
2021,5134129,270,Highland,Invergarry Primary School,Primary,trend,Average Class,12,
2022,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,25,
2022,5134129,270,Highland,Invergarry Primary School,Primary,trend,Teacher Numbers (FTE),2.7,
2022,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Teacher Ratio,9.3,
2022,5134129,270,Highland,Invergarry Primary School,Primary,trend,Average Class,12.5,
2022,5134129,270,Highland,Invergarry Primary School,Primary,sex,Female,60-70%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,sex,Male,40-50%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,stage,P1,20%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,stage,P2,c,c
2022,5134129,270,Highland,Invergarry Primary School,Primary,stage,P3,c,c
2022,5134129,270,Highland,Invergarry Primary School,Primary,stage,P4,c,c
2022,5134129,270,Highland,Invergarry Primary School,Primary,stage,P5,c,c
2022,5134129,270,Highland,Invergarry Primary School,Primary,stage,P6,28%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,stage,P7,c,c
2022,5134129,270,Highland,Invergarry Primary School,Primary,additional_support_needs,ASN,20-30%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,additional_support_needs,No ASN,70-80%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,english_additional_language,EAL,0-10%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,english_additional_language,No EAL,90+%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,deprivation,SIMD Q1,0-10%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,deprivation,SIMD Q2,0-10%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,deprivation,SIMD Q3,0-10%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,deprivation,SIMD Q4,90+%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,deprivation,SIMD Q5,0-10%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,ethnicity,Ethnicity Not Known,0-10%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,ethnicity,Ethnic Minority,10-20%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,ethnicity,White UK,80-90%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,ethnicity,White Other,0-10%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,urban_rural,Urban Rural Not Known,0-10%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,urban_rural,Rural,90+%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,urban_rural,Small Town,0-10%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,urban_rural,Urban,0-10%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,gaelic,Taught in Gaelic,0-10%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,gaelic,Not Taught in Gaelic,90+%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,free_school_meals,FSM,50-60%,
2022,5134129,270,Highland,Invergarry Primary School,Primary,free_school_meals,No FSM,40-50%,
2020,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,32,
2020,5134129,270,Highland,Invergarry Primary School,Primary,trend,Teacher Numbers (FTE),2.1,
2020,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Teacher Ratio,14.9,
2020,5134129,270,Highland,Invergarry Primary School,Primary,trend,Average Class,16,
2019,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,34,
2019,5134129,270,Highland,Invergarry Primary School,Primary,trend,Teacher Numbers (FTE),2.1,
2019,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Teacher Ratio,16.2,
2019,5134129,270,Highland,Invergarry Primary School,Primary,trend,Average Class,17,
2018,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,31,
2018,5134129,270,Highland,Invergarry Primary School,Primary,trend,Teacher Numbers (FTE),2.4,
2018,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Teacher Ratio,12.9,
2018,5134129,270,Highland,Invergarry Primary School,Primary,trend,Average Class,15.5,
2017,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,31,
2017,5134129,270,Highland,Invergarry Primary School,Primary,trend,Teacher Numbers (FTE),2.1,
2017,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Teacher Ratio,14.7,
2017,5134129,270,Highland,Invergarry Primary School,Primary,trend,Average Class,15.5,
2016,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,32,
2016,5134129,270,Highland,Invergarry Primary School,Primary,trend,Teacher Numbers (FTE),2.1,
2016,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Teacher Ratio,15.2,
2016,5134129,270,Highland,Invergarry Primary School,Primary,trend,Average Class,16,
2015,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,32,
2015,5134129,270,Highland,Invergarry Primary School,Primary,trend,Teacher Numbers (FTE),1.8,
2015,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Teacher Ratio,17.8,
2015,5134129,270,Highland,Invergarry Primary School,Primary,trend,Average Class,16,
2014,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,33,
2014,5134129,270,Highland,Invergarry Primary School,Primary,trend,Teacher Numbers (FTE),2,
2014,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Teacher Ratio,16.5,
2014,5134129,270,Highland,Invergarry Primary School,Primary,trend,Average Class,16.5,
2013,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,27,
2013,5134129,270,Highland,Invergarry Primary School,Primary,trend,Teacher Numbers (FTE),2.2,
2013,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Teacher Ratio,12.3,
2013,5134129,270,Highland,Invergarry Primary School,Primary,trend,Average Class,13.5,
2012,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,24,
2012,5134129,270,Highland,Invergarry Primary School,Primary,trend,Teacher Numbers (FTE),2.2,
2012,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Teacher Ratio,10.9,
2012,5134129,270,Highland,Invergarry Primary School,Primary,trend,Average Class,12,
2011,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,24,
2011,5134129,270,Highland,Invergarry Primary School,Primary,trend,Teacher Numbers (FTE),2.4,
2011,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Teacher Ratio,10.1,
2011,5134129,270,Highland,Invergarry Primary School,Primary,trend,Average Class,12,
2010,5134129,270,Highland,Invergarry Primary School,Primary,trend,Pupil Numbers,25,
