year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,19,
2021,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),2.1,
2021,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,9,
2021,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,9.5,
2022,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,15,
2022,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),2.6,
2022,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,5.8,
2022,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,7.5,
2022,5117429,270,Highland,Poolewe Primary School,Primary,sex,Female,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,sex,Male,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,stage,P1,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,stage,P2,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,stage,P3,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,stage,P4,33.3%,
2022,5117429,270,Highland,Poolewe Primary School,Primary,stage,P5,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,stage,P6,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,stage,P7,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,additional_support_needs,ASN,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,additional_support_needs,No ASN,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,english_additional_language,EAL,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,english_additional_language,No EAL,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,deprivation,SIMD Unknown,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,deprivation,SIMD Q1,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,deprivation,SIMD Q2,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,deprivation,SIMD Q3,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,deprivation,SIMD Q4,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,deprivation,SIMD Q5,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,ethnicity,Ethnicity Not Known,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,ethnicity,Ethnic Minority,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,ethnicity,White UK,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,ethnicity,White Other,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,urban_rural,Urban Rural Not Known,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,urban_rural,Rural,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,urban_rural,Small Town,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,urban_rural,Urban,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,gaelic,Taught in Gaelic,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,gaelic,Not Taught in Gaelic,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,free_school_meals,FSM,c,c
2022,5117429,270,Highland,Poolewe Primary School,Primary,free_school_meals,No FSM,c,c
2020,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,16,
2020,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),2.3,
2020,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,7.1,
2020,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,16,
2019,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,22,
2019,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),3.1,
2019,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,7,
2019,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,22,
2018,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,17,
2018,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),1.9,
2018,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,8.9,
2018,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,17,
2017,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,15,
2017,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),1.9,
2017,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,7.9,
2017,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,15,
2016,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,23,
2016,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),2.4,
2016,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,9.6,
2016,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,11.5,
2015,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,24,
2015,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),2.5,
2015,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,9.6,
2015,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,12,
2014,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,23,
2014,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),2.7,
2014,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,8.4,
2014,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,5.8,
2013,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,29,
2013,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),2.5,
2013,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,11.6,
2013,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,14.5,
2012,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,25,
2012,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),2.5,
2012,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,10,
2012,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,12.5,
2011,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,23,
2011,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),2.9,
2011,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,7.9,
2011,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,11.5,
2010,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,28,
2010,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),2.9,
2010,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,9.8,
2010,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,14,
2009,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Numbers,23,
2009,5117429,270,Highland,Poolewe Primary School,Primary,trend,Teacher Numbers (FTE),3.1,
2009,5117429,270,Highland,Poolewe Primary School,Primary,trend,Pupil Teacher Ratio,7.4,
2009,5117429,270,Highland,Poolewe Primary School,Primary,trend,Average Class,11.5,
