year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5109922,270,Highland,Lairg Primary School,Primary,trend,Pupil Numbers,50,
2021,5109922,270,Highland,Lairg Primary School,Primary,trend,Teacher Numbers (FTE),4.4,
2021,5109922,270,Highland,Lairg Primary School,Primary,trend,Pupil Teacher Ratio,11.4,
2021,5109922,270,Highland,Lairg Primary School,Primary,trend,Average Class,16.7,
2022,5109922,270,Highland,Lairg Primary School,Primary,trend,Pupil Numbers,50,
2022,5109922,270,Highland,Lairg Primary School,Primary,trend,Teacher Numbers (FTE),3.8,
2022,5109922,270,Highland,Lairg Primary School,Primary,trend,Pupil Teacher Ratio,13.1,
2022,5109922,270,Highland,Lairg Primary School,Primary,trend,Average Class,16.7,
2022,5109922,270,Highland,Lairg Primary School,Primary,sex,Female,60-70%,
2022,5109922,270,Highland,Lairg Primary School,Primary,sex,Male,30-40%,
2022,5109922,270,Highland,Lairg Primary School,Primary,stage,P1,10%,
2022,5109922,270,Highland,Lairg Primary School,Primary,stage,P2,12%,
2022,5109922,270,Highland,Lairg Primary School,Primary,stage,P3,16%,
2022,5109922,270,Highland,Lairg Primary School,Primary,stage,P4,12%,
2022,5109922,270,Highland,Lairg Primary School,Primary,stage,P5,20%,
2022,5109922,270,Highland,Lairg Primary School,Primary,stage,P6,18%,
2022,5109922,270,Highland,Lairg Primary School,Primary,stage,P7,12%,
2022,5109922,270,Highland,Lairg Primary School,Primary,additional_support_needs,ASN,30-40%,
2022,5109922,270,Highland,Lairg Primary School,Primary,additional_support_needs,No ASN,70-80%,
2022,5109922,270,Highland,Lairg Primary School,Primary,english_additional_language,EAL,0-10%,
2022,5109922,270,Highland,Lairg Primary School,Primary,english_additional_language,No EAL,90+%,
2022,5109922,270,Highland,Lairg Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5109922,270,Highland,Lairg Primary School,Primary,deprivation,SIMD Q1,0-10%,
2022,5109922,270,Highland,Lairg Primary School,Primary,deprivation,SIMD Q2,0-10%,
2022,5109922,270,Highland,Lairg Primary School,Primary,deprivation,SIMD Q3,90+%,
2022,5109922,270,Highland,Lairg Primary School,Primary,deprivation,SIMD Q4,0-10%,
2022,5109922,270,Highland,Lairg Primary School,Primary,deprivation,SIMD Q5,0-10%,
2022,5109922,270,Highland,Lairg Primary School,Primary,ethnicity,Ethnicity Not Known,0-10%,
2022,5109922,270,Highland,Lairg Primary School,Primary,ethnicity,Ethnic Minority,0-10%,
2022,5109922,270,Highland,Lairg Primary School,Primary,ethnicity,White UK,90+%,
2022,5109922,270,Highland,Lairg Primary School,Primary,ethnicity,White Other,0-10%,
2022,5109922,270,Highland,Lairg Primary School,Primary,urban_rural,Urban Rural Not Known,0-10%,
2022,5109922,270,Highland,Lairg Primary School,Primary,urban_rural,Rural,90+%,
2022,5109922,270,Highland,Lairg Primary School,Primary,urban_rural,Small Town,0-10%,
2022,5109922,270,Highland,Lairg Primary School,Primary,urban_rural,Urban,0-10%,
