year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2011,5134226,270,Highland,Inverie Primary School,Primary,trend,Pupil Numbers,10,
2011,5134226,270,Highland,Inverie Primary School,Primary,trend,Teacher Numbers (FTE),1.5,
2011,5134226,270,Highland,Inverie Primary School,Primary,trend,Pupil Teacher Ratio,6.7,
2011,5134226,270,Highland,Inverie Primary School,Primary,trend,Average Class,10,
2010,5134226,270,Highland,Inverie Primary School,Primary,trend,Pupil Numbers,10,
2010,5134226,270,Highland,Inverie Primary School,Primary,trend,Teacher Numbers (FTE),1.4,
2010,5134226,270,Highland,Inverie Primary School,Primary,trend,Pupil Teacher Ratio,6.9,
2010,5134226,270,Highland,Inverie Primary School,Primary,trend,Average Class,10,
2009,5134226,270,Highland,Inverie Primary School,Primary,trend,Pupil Numbers,10,
2009,5134226,270,Highland,Inverie Primary School,Primary,trend,Teacher Numbers (FTE),1.4,
2009,5134226,270,Highland,Inverie Primary School,Primary,trend,Pupil Teacher Ratio,7.1,
2009,5134226,270,Highland,Inverie Primary School,Primary,trend,Average Class,10,
