year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Numbers,17,
2021,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Teacher Numbers (FTE),2.3,
2021,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Teacher Ratio,7.3,
2021,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Average Class,17,
2022,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Numbers,15,
2022,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Teacher Numbers (FTE),2,
2022,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Teacher Ratio,7.5,
2022,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Average Class,15,
2022,5122821,270,Highland,Loch Duich Primary School,Primary,sex,Female,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,sex,Male,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,stage,P1,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,stage,P2,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,stage,P3,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,stage,P4,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,stage,P5,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,stage,P6,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,stage,P7,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,additional_support_needs,ASN,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,additional_support_needs,No ASN,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,english_additional_language,EAL,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,english_additional_language,No EAL,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,deprivation,SIMD Unknown,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,deprivation,SIMD Q1,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,deprivation,SIMD Q2,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,deprivation,SIMD Q3,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,deprivation,SIMD Q4,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,deprivation,SIMD Q5,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,ethnicity,Ethnicity Not Known,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,ethnicity,Ethnic Minority,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,ethnicity,White UK,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,ethnicity,White Other,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,urban_rural,Urban Rural Not Known,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,urban_rural,Rural,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,urban_rural,Small Town,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,urban_rural,Urban,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,gaelic,Taught in Gaelic,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,gaelic,Not Taught in Gaelic,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,free_school_meals,FSM,c,c
2022,5122821,270,Highland,Loch Duich Primary School,Primary,free_school_meals,No FSM,c,c
2020,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Numbers,16,
2020,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Teacher Numbers (FTE),2.3,
2020,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Teacher Ratio,6.9,
2020,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Average Class,16,
2019,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Numbers,14,
2019,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Teacher Numbers (FTE),1.6,
2019,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Teacher Ratio,8.7,
2019,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Average Class,14,
2018,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Numbers,12,
2018,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Teacher Numbers (FTE),1.5,
2018,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Teacher Ratio,7.8,
2018,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Average Class,12,
2017,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Numbers,14,
2017,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Teacher Numbers (FTE),2.6,
2017,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Teacher Ratio,5.3,
2017,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Average Class,14,
2016,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Numbers,16,
2016,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Teacher Numbers (FTE),2.3,
2016,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Teacher Ratio,7,
2016,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Average Class,8,
2015,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Pupil Numbers,14,
2015,5122821,270,Highland,Loch Duich Primary School,Primary,trend,Teacher Numbers (FTE),1.4,
