year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Numbers,230,
2021,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Teacher Numbers (FTE),12.9,
2021,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Teacher Ratio,17.8,
2021,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Average Class,23,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Numbers,231,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Teacher Numbers (FTE),12.8,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Teacher Ratio,18,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Average Class,23.1,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,sex,Female,50-60%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,sex,Male,40-50%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,stage,P1,13%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,stage,P2,10%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,stage,P3,16.5%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,stage,P4,12.1%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,stage,P5,16.5%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,stage,P6,19.5%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,stage,P7,12.6%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,additional_support_needs,ASN,10-20%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,additional_support_needs,No ASN,80-90%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,english_additional_language,EAL,0-10%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,english_additional_language,No EAL,90+%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,deprivation,SIMD Q1,0-10%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,deprivation,SIMD Q2,20-30%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,deprivation,SIMD Q3,20-30%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,deprivation,SIMD Q4,50-60%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,deprivation,SIMD Q5,0-10%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,ethnicity,Ethnicity Not Known,20-30%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,ethnicity,Ethnic Minority,0-10%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,ethnicity,White UK,60-70%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,ethnicity,White Other,0-10%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,urban_rural,Urban Rural Not Known,0-10%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,urban_rural,Rural,10-20%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,urban_rural,Small Town,80-90%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,urban_rural,Urban,0-10%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,gaelic,Taught in Gaelic,0-10%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,gaelic,Not Taught in Gaelic,90+%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,free_school_meals,FSM,70-80%,
2022,5101328,270,Highland,Miller Academy Primary School,Primary,free_school_meals,No FSM,20-30%,
2020,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Numbers,230,
2020,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Teacher Numbers (FTE),11.4,
2020,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Teacher Ratio,20.2,
2020,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Average Class,23,
2019,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Numbers,221,
2019,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Teacher Numbers (FTE),15.5,
2019,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Teacher Ratio,14.3,
2019,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Average Class,22.1,
2018,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Numbers,234,
2018,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Teacher Numbers (FTE),16.1,
2018,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Teacher Ratio,14.5,
2018,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Average Class,21.3,
2017,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Numbers,212,
2017,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Teacher Numbers (FTE),13.8,
2017,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Teacher Ratio,15.3,
2017,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Average Class,21.2,
2016,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Numbers,201,
2016,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Teacher Numbers (FTE),11.8,
2016,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Teacher Ratio,17,
2016,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Average Class,22.3,
2015,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Numbers,203,
2015,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Teacher Numbers (FTE),9.9,
2015,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Teacher Ratio,20.5,
2015,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Average Class,25.4,
2014,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Pupil Numbers,199,
2014,5101328,270,Highland,Miller Academy Primary School,Primary,trend,Teacher Numbers (FTE),8.6,
