year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5142024,270,Highland,Tomnacross Primary School,Primary,trend,Pupil Numbers,104,
2021,5142024,270,Highland,Tomnacross Primary School,Primary,trend,Teacher Numbers (FTE),6,
2021,5142024,270,Highland,Tomnacross Primary School,Primary,trend,Pupil Teacher Ratio,17.4,
2021,5142024,270,Highland,Tomnacross Primary School,Primary,trend,Average Class,20.8,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,trend,Pupil Numbers,116,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,trend,Teacher Numbers (FTE),6.3,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,trend,Pupil Teacher Ratio,18.4,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,trend,Average Class,23.2,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,sex,Female,50-60%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,sex,Male,50-60%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,stage,P1,12.1%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,stage,P2,16.4%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,stage,P3,10.3%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,stage,P4,20.7%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,stage,P5,14.7%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,stage,P6,10.3%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,stage,P7,15.5%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,additional_support_needs,ASN,40-50%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,additional_support_needs,No ASN,50-60%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,english_additional_language,EAL,0-10%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,english_additional_language,No EAL,90+%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,deprivation,SIMD Q1,0-10%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,deprivation,SIMD Q2,50-60%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,deprivation,SIMD Q3,0-10%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,deprivation,SIMD Q4,30-40%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,deprivation,SIMD Q5,0-10%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,ethnicity,Ethnicity Not Known,0-10%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,ethnicity,Ethnic Minority,0-10%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,ethnicity,White UK,90+%,
2022,5142024,270,Highland,Tomnacross Primary School,Primary,ethnicity,White Other,0-10%,
