year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,26,
2021,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),2.5,
2021,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,10.4,
2021,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,13,
2022,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,23,
2022,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),2.6,
2022,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,8.8,
2022,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,11.5,
2022,5126126,270,Highland,Carbost Primary School,Primary,sex,Female,50-60%,
2022,5126126,270,Highland,Carbost Primary School,Primary,sex,Male,40-50%,
2022,5126126,270,Highland,Carbost Primary School,Primary,stage,P1,21.7%,
2022,5126126,270,Highland,Carbost Primary School,Primary,stage,P2,c,c
2022,5126126,270,Highland,Carbost Primary School,Primary,stage,P3,c,c
2022,5126126,270,Highland,Carbost Primary School,Primary,stage,P4,c,c
2022,5126126,270,Highland,Carbost Primary School,Primary,stage,P5,c,c
2022,5126126,270,Highland,Carbost Primary School,Primary,stage,P6,21.7%,
2022,5126126,270,Highland,Carbost Primary School,Primary,stage,P7,c,c
2022,5126126,270,Highland,Carbost Primary School,Primary,additional_support_needs,ASN,20-30%,
2022,5126126,270,Highland,Carbost Primary School,Primary,additional_support_needs,No ASN,70-80%,
2022,5126126,270,Highland,Carbost Primary School,Primary,english_additional_language,EAL,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,english_additional_language,No EAL,90+%,
2022,5126126,270,Highland,Carbost Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,deprivation,SIMD Q1,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,deprivation,SIMD Q2,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,deprivation,SIMD Q3,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,deprivation,SIMD Q4,90+%,
2022,5126126,270,Highland,Carbost Primary School,Primary,deprivation,SIMD Q5,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,ethnicity,Ethnicity Not Known,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,ethnicity,Ethnic Minority,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,ethnicity,White UK,90+%,
2022,5126126,270,Highland,Carbost Primary School,Primary,ethnicity,White Other,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,urban_rural,Urban Rural Not Known,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,urban_rural,Rural,90+%,
2022,5126126,270,Highland,Carbost Primary School,Primary,urban_rural,Small Town,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,urban_rural,Urban,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,gaelic,Taught in Gaelic,0-10%,
2022,5126126,270,Highland,Carbost Primary School,Primary,gaelic,Not Taught in Gaelic,90+%,
2022,5126126,270,Highland,Carbost Primary School,Primary,free_school_meals,FSM,60-70%,
2022,5126126,270,Highland,Carbost Primary School,Primary,free_school_meals,No FSM,30-40%,
2020,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,27,
2020,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),2.8,
2020,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,9.5,
2020,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,13.5,
2019,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,22,
2019,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),2.8,
2019,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,8,
2019,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,11,
2018,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,24,
2018,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),2.5,
2018,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,9.4,
2018,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,12,
2017,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,26,
2017,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),2.5,
2017,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,10.4,
2017,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,13,
2016,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,24,
2016,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),2.6,
2016,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,9.2,
2016,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,12,
2015,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,27,
2015,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),2.7,
2015,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,10.2,
2015,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,13.5,
2014,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,28,
2014,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),1.6,
2014,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,17.7,
2014,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,14,
2013,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,32,
2013,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),2.6,
2013,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,12.3,
2013,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,16,
2012,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,36,
2012,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),2.8,
2012,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,12.9,
2012,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,18,
2011,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,34,
2011,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),3,
2011,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,11.3,
2011,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,17,
2010,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,35,
2010,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),2.9,
2010,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,12.1,
2010,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,17.5,
2009,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Numbers,36,
2009,5126126,270,Highland,Carbost Primary School,Primary,trend,Teacher Numbers (FTE),3.1,
2009,5126126,270,Highland,Carbost Primary School,Primary,trend,Pupil Teacher Ratio,11.6,
2009,5126126,270,Highland,Carbost Primary School,Primary,trend,Average Class,18,
