year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5115620,270,Highland,South Lodge Primary School,Primary,trend,Pupil Numbers,148,
2021,5115620,270,Highland,South Lodge Primary School,Primary,trend,Teacher Numbers (FTE),8.8,
2021,5115620,270,Highland,South Lodge Primary School,Primary,trend,Pupil Teacher Ratio,16.8,
2021,5115620,270,Highland,South Lodge Primary School,Primary,trend,Average Class,21.1,
2022,5115620,270,Highland,South Lodge Primary School,Primary,trend,Pupil Numbers,144,
2022,5115620,270,Highland,South Lodge Primary School,Primary,trend,Teacher Numbers (FTE),9.2,
2022,5115620,270,Highland,South Lodge Primary School,Primary,trend,Pupil Teacher Ratio,15.7,
2022,5115620,270,Highland,South Lodge Primary School,Primary,trend,Average Class,20.6,
2022,5115620,270,Highland,South Lodge Primary School,Primary,sex,Female,40-50%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,sex,Male,50-60%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,stage,P1,19.4%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,stage,P2,11.1%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,stage,P3,11.8%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,stage,P4,13.9%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,stage,P5,13.9%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,stage,P6,13.9%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,stage,P7,16%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,additional_support_needs,ASN,50-60%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,additional_support_needs,No ASN,40-50%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,english_additional_language,EAL,0-10%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,english_additional_language,No EAL,90+%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,deprivation,SIMD Q1,60-70%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,deprivation,SIMD Q2,10-20%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,deprivation,SIMD Q3,20-30%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,deprivation,SIMD Q4,0-10%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,deprivation,SIMD Q5,0-10%,
2022,5115620,270,Highland,South Lodge Primary School,Primary,ethnicity,Ethnicity Not Known,0-10%,
