year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,trend,Pupil Numbers,174,
2021,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,trend,Teacher Numbers (FTE),9.4,
2021,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,trend,Pupil Teacher Ratio,18.5,
2021,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,trend,Average Class,24.9,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,trend,Pupil Numbers,170,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,trend,Teacher Numbers (FTE),9.5,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,trend,Pupil Teacher Ratio,17.9,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,trend,Average Class,24.3,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,sex,Female,40-50%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,sex,Male,50-60%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,stage,P1,13.5%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,stage,P2,13.5%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,stage,P3,12.4%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,stage,P4,14.1%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,stage,P5,12.9%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,stage,P6,17.6%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,stage,P7,15.9%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,additional_support_needs,ASN,30-40%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,additional_support_needs,No ASN,60-70%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,english_additional_language,EAL,0-10%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,english_additional_language,No EAL,90+%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,deprivation,SIMD Unknown,0-10%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,deprivation,SIMD Q1,0-10%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,deprivation,SIMD Q2,30-40%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,deprivation,SIMD Q3,60-70%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,deprivation,SIMD Q4,0-10%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,deprivation,SIMD Q5,0-10%,
2022,5118328,270,Highland,Knockbreck Primary School - Tain,Primary,ethnicity,Ethnicity Not Known,0-10%,
