year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,36,
2021,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),3.2,
2021,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,11.3,
2021,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,18,
2022,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,37,
2022,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),3.2,
2022,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,11.6,
2022,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,18.5,
2022,5110122,270,Highland,Melvich Primary School,Primary,sex,Female,50-60%,
2022,5110122,270,Highland,Melvich Primary School,Primary,sex,Male,40-50%,
2022,5110122,270,Highland,Melvich Primary School,Primary,stage,P1,13.5%,
2022,5110122,270,Highland,Melvich Primary School,Primary,stage,P2,c,c
2022,5110122,270,Highland,Melvich Primary School,Primary,stage,P3,13.5%,
2022,5110122,270,Highland,Melvich Primary School,Primary,stage,P4,21.6%,
2022,5110122,270,Highland,Melvich Primary School,Primary,stage,P5,13.5%,
2022,5110122,270,Highland,Melvich Primary School,Primary,stage,P6,18.9%,
2022,5110122,270,Highland,Melvich Primary School,Primary,stage,P7,c,c
2022,5110122,270,Highland,Melvich Primary School,Primary,additional_support_needs,ASN,20-30%,
2022,5110122,270,Highland,Melvich Primary School,Primary,additional_support_needs,No ASN,70-80%,
2022,5110122,270,Highland,Melvich Primary School,Primary,english_additional_language,EAL,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,english_additional_language,No EAL,90+%,
2022,5110122,270,Highland,Melvich Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,deprivation,SIMD Q1,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,deprivation,SIMD Q2,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,deprivation,SIMD Q3,90+%,
2022,5110122,270,Highland,Melvich Primary School,Primary,deprivation,SIMD Q4,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,deprivation,SIMD Q5,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,ethnicity,Ethnicity Not Known,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,ethnicity,Ethnic Minority,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,ethnicity,White UK,90+%,
2022,5110122,270,Highland,Melvich Primary School,Primary,ethnicity,White Other,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,urban_rural,Urban Rural Not Known,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,urban_rural,Rural,90+%,
2022,5110122,270,Highland,Melvich Primary School,Primary,urban_rural,Small Town,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,urban_rural,Urban,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,gaelic,Taught in Gaelic,0-10%,
2022,5110122,270,Highland,Melvich Primary School,Primary,gaelic,Not Taught in Gaelic,90+%,
2022,5110122,270,Highland,Melvich Primary School,Primary,free_school_meals,FSM,70-80%,
2022,5110122,270,Highland,Melvich Primary School,Primary,free_school_meals,No FSM,20-30%,
2020,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,31,
2020,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),3.1,
2020,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,10,
2020,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,15.5,
2019,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,30,
2019,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),3.8,
2019,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,8,
2019,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,10,
2018,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,25,
2018,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),2.8,
2018,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,9.1,
2018,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,12.5,
2017,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,22,
2017,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),2.4,
2017,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,9.3,
2017,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,11,
2016,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,22,
2016,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),1.9,
2016,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,11.6,
2016,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,11,
2015,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,24,
2015,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),1.2,
2015,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,20,
2015,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,12,
2014,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,23,
2014,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),2.7,
2014,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,8.5,
2014,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,11.5,
2013,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,29,
2013,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),3.7,
2013,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,7.8,
2013,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,14.5,
2012,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,26,
2012,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),2.7,
2012,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,9.6,
2012,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,13,
2011,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,26,
2011,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),2.7,
2011,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,9.7,
2011,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,13,
2010,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,26,
2010,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),3.2,
2010,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,8.2,
2010,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,13,
2009,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Numbers,26,
2009,5110122,270,Highland,Melvich Primary School,Primary,trend,Teacher Numbers (FTE),3.4,
2009,5110122,270,Highland,Melvich Primary School,Primary,trend,Pupil Teacher Ratio,7.6,
2009,5110122,270,Highland,Melvich Primary School,Primary,trend,Average Class,13,
