year,seed_code,la_code,la_name,school_name,school_type,measure_category,measure,value,chart_label
2021,5140129,270,Highland,Drakies Primary School,Primary,trend,Pupil Numbers,231,
2021,5140129,270,Highland,Drakies Primary School,Primary,trend,Teacher Numbers (FTE),13.7,
2021,5140129,270,Highland,Drakies Primary School,Primary,trend,Pupil Teacher Ratio,16.9,
2021,5140129,270,Highland,Drakies Primary School,Primary,trend,Average Class,25.7,
2022,5140129,270,Highland,Drakies Primary School,Primary,trend,Pupil Numbers,226,
2022,5140129,270,Highland,Drakies Primary School,Primary,trend,Teacher Numbers (FTE),11.1,
2022,5140129,270,Highland,Drakies Primary School,Primary,trend,Pupil Teacher Ratio,20.4,
2022,5140129,270,Highland,Drakies Primary School,Primary,trend,Average Class,25.1,
2022,5140129,270,Highland,Drakies Primary School,Primary,sex,Female,50-60%,
2022,5140129,270,Highland,Drakies Primary School,Primary,sex,Male,40-50%,
2022,5140129,270,Highland,Drakies Primary School,Primary,stage,P1,13.3%,
2022,5140129,270,Highland,Drakies Primary School,Primary,stage,P2,12.4%,
2022,5140129,270,Highland,Drakies Primary School,Primary,stage,P3,11.1%,
2022,5140129,270,Highland,Drakies Primary School,Primary,stage,P4,15%,
2022,5140129,270,Highland,Drakies Primary School,Primary,stage,P5,15.5%,
2022,5140129,270,Highland,Drakies Primary School,Primary,stage,P6,14.2%,
2022,5140129,270,Highland,Drakies Primary School,Primary,stage,P7,18.6%,
2022,5140129,270,Highland,Drakies Primary School,Primary,additional_support_needs,ASN,30-40%,
2022,5140129,270,Highland,Drakies Primary School,Primary,additional_support_needs,No ASN,60-70%,
2022,5140129,270,Highland,Drakies Primary School,Primary,english_additional_language,EAL,10-20%,
2022,5140129,270,Highland,Drakies Primary School,Primary,english_additional_language,No EAL,80-90%,
2022,5140129,270,Highland,Drakies Primary School,Primary,deprivation,SIMD Unknown,0-10%,
2022,5140129,270,Highland,Drakies Primary School,Primary,deprivation,SIMD Q1,0-10%,
2022,5140129,270,Highland,Drakies Primary School,Primary,deprivation,SIMD Q2,10-20%,
2022,5140129,270,Highland,Drakies Primary School,Primary,deprivation,SIMD Q3,0-10%,
2022,5140129,270,Highland,Drakies Primary School,Primary,deprivation,SIMD Q4,10-20%,
2022,5140129,270,Highland,Drakies Primary School,Primary,deprivation,SIMD Q5,60-70%,
2022,5140129,270,Highland,Drakies Primary School,Primary,ethnicity,Ethnicity Not Known,0-10%,
2022,5140129,270,Highland,Drakies Primary School,Primary,ethnicity,Ethnic Minority,10-20%,
2022,5140129,270,Highland,Drakies Primary School,Primary,ethnicity,White UK,70-80%,
2022,5140129,270,Highland,Drakies Primary School,Primary,ethnicity,White Other,10-20%,
2022,5140129,270,Highland,Drakies Primary School,Primary,urban_rural,Urban Rural Not Known,0-10%,
2022,5140129,270,Highland,Drakies Primary School,Primary,urban_rural,Rural,0-10%,
